"","Province.State","Country.Region","Lat","Long","continent","day","month","year","dates","cases"
"1","","Afghanistan",33,65,NA,22,1,2020,2020-01-22,0
"2","","Afghanistan",33,65,NA,23,1,2020,2020-01-23,0
"3","","Afghanistan",33,65,NA,24,1,2020,2020-01-24,0
"4","","Afghanistan",33,65,NA,25,1,2020,2020-01-25,0
"5","","Afghanistan",33,65,NA,26,1,2020,2020-01-26,0
"6","","Afghanistan",33,65,NA,27,1,2020,2020-01-27,0
"7","","Afghanistan",33,65,NA,28,1,2020,2020-01-28,0
"8","","Afghanistan",33,65,NA,29,1,2020,2020-01-29,0
"9","","Afghanistan",33,65,NA,30,1,2020,2020-01-30,0
"10","","Afghanistan",33,65,NA,31,1,2020,2020-01-31,0
"11","","Afghanistan",33,65,NA,1,2,2020,2020-02-01,0
"12","","Afghanistan",33,65,NA,2,2,2020,2020-02-02,0
"13","","Afghanistan",33,65,NA,3,2,2020,2020-02-03,0
"14","","Afghanistan",33,65,NA,4,2,2020,2020-02-04,0
"15","","Afghanistan",33,65,NA,5,2,2020,2020-02-05,0
"16","","Afghanistan",33,65,NA,6,2,2020,2020-02-06,0
"17","","Afghanistan",33,65,NA,7,2,2020,2020-02-07,0
"18","","Afghanistan",33,65,NA,8,2,2020,2020-02-08,0
"19","","Afghanistan",33,65,NA,9,2,2020,2020-02-09,0
"20","","Afghanistan",33,65,NA,10,2,2020,2020-02-10,0
"21","","Afghanistan",33,65,NA,11,2,2020,2020-02-11,0
"22","","Afghanistan",33,65,NA,12,2,2020,2020-02-12,0
"23","","Afghanistan",33,65,NA,13,2,2020,2020-02-13,0
"24","","Afghanistan",33,65,NA,14,2,2020,2020-02-14,0
"25","","Afghanistan",33,65,NA,15,2,2020,2020-02-15,0
"26","","Afghanistan",33,65,NA,16,2,2020,2020-02-16,0
"27","","Afghanistan",33,65,NA,17,2,2020,2020-02-17,0
"28","","Afghanistan",33,65,NA,18,2,2020,2020-02-18,0
"29","","Afghanistan",33,65,NA,19,2,2020,2020-02-19,0
"30","","Afghanistan",33,65,NA,20,2,2020,2020-02-20,0
"31","","Afghanistan",33,65,NA,21,2,2020,2020-02-21,0
"32","","Afghanistan",33,65,NA,22,2,2020,2020-02-22,0
"33","","Afghanistan",33,65,NA,23,2,2020,2020-02-23,0
"34","","Afghanistan",33,65,NA,24,2,2020,2020-02-24,1
"35","","Afghanistan",33,65,NA,25,2,2020,2020-02-25,1
"36","","Afghanistan",33,65,NA,26,2,2020,2020-02-26,1
"37","","Afghanistan",33,65,NA,27,2,2020,2020-02-27,1
"38","","Afghanistan",33,65,NA,28,2,2020,2020-02-28,1
"39","","Afghanistan",33,65,NA,29,2,2020,2020-02-29,1
"40","","Afghanistan",33,65,NA,1,3,2020,2020-03-01,1
"41","","Afghanistan",33,65,NA,2,3,2020,2020-03-02,1
"42","","Afghanistan",33,65,NA,3,3,2020,2020-03-03,1
"43","","Afghanistan",33,65,NA,4,3,2020,2020-03-04,1
"44","","Afghanistan",33,65,NA,5,3,2020,2020-03-05,1
"45","","Afghanistan",33,65,NA,6,3,2020,2020-03-06,1
"46","","Afghanistan",33,65,NA,7,3,2020,2020-03-07,1
"47","","Afghanistan",33,65,NA,8,3,2020,2020-03-08,4
"48","","Afghanistan",33,65,NA,9,3,2020,2020-03-09,4
"49","","Afghanistan",33,65,NA,10,3,2020,2020-03-10,5
"50","","Afghanistan",33,65,NA,11,3,2020,2020-03-11,7
"51","","Afghanistan",33,65,NA,12,3,2020,2020-03-12,7
"52","","Afghanistan",33,65,NA,13,3,2020,2020-03-13,7
"53","","Afghanistan",33,65,NA,14,3,2020,2020-03-14,11
"54","","Afghanistan",33,65,NA,15,3,2020,2020-03-15,16
"55","","Afghanistan",33,65,NA,16,3,2020,2020-03-16,21
"56","","Afghanistan",33,65,NA,17,3,2020,2020-03-17,22
"57","","Afghanistan",33,65,NA,18,3,2020,2020-03-18,22
"58","","Afghanistan",33,65,NA,19,3,2020,2020-03-19,22
"59","","Afghanistan",33,65,NA,20,3,2020,2020-03-20,24
